# study: CHAMPION | population: ITT | endpoint: Non-procedural ISTH Major Bleeding
arm,x,y
device,0.011579,-0.006064
device,0.102492,0.268738
device,0.167950,0.749642
device,0.742520,1.230546
device,0.775248,1.574049
device,0.898890,1.711450
device,1.302543,1.848851
device,1.317090,2.054953
device,1.637103,2.398456
device,1.655286,2.604557
device,1.924388,2.741959
device,1.960753,3.085461
device,2.131670,3.360264
device,2.142579,3.566365
device,2.208036,3.703766
device,2.597144,4.047269
device,2.655328,4.390772
device,2.873519,4.596874
device,2.917158,4.871676
device,2.997161,4.940377
