# study: LAAOS | population: ITT | endpoint: Stroke or Systemic Arterial Embolism
arm,x,y
LAAO+OAC,0.017003,1.463461
LAAO+OAC,0.022113,0.070922
LAAO+OAC,0.061516,2.272472
LAAO+OAC,0.180220,2.510417
LAAO+OAC,0.447302,2.700773
LAAO+OAC,0.580844,3.176662
LAAO+OAC,0.684709,3.319429
LAAO+OAC,1.248550,3.414606
LAAO+OAC,1.441443,3.557373
LAAO+OAC,1.500795,3.747729
LAAO+OAC,1.945932,4.033262
LAAO+OAC,2.020122,4.223618
LAAO+OAC,3.325859,4.747096
LAAO+OAC,3.459400,4.985041
LAAO+OAC,4.601920,5.127807
LAAO+OAC,4.616758,5.270574
LAAO+OAC,4.779975,5.413341
LAAO+OAC,4.809651,5.603696
LAAO+OAC,5.254788,5.603696
LAAO+OAC,5.269626,5.794052
LAAO+OAC,6.145064,5.794052
