# study: LAAOS | population: ITT | endpoint: Stroke or Systemic Arterial Embolism
arm,x,y
OAC,-0.007371,0.023641
OAC,0.046678,2.748362
OAC,0.224734,3.129073
OAC,0.328599,3.604962
OAC,0.847926,4.080851
OAC,1.070495,4.461563
OAC,1.500795,4.699507
OAC,1.753039,5.175396
OAC,2.064636,5.508519
OAC,2.316880,5.556108
OAC,2.480097,5.936819
OAC,2.925235,6.222352
OAC,3.043938,6.507886
OAC,3.400048,6.555475
OAC,3.474238,6.745830
OAC,3.963889,6.983775
OAC,4.127106,7.316897
OAC,4.512892,7.554842
OAC,4.601920,7.935553
OAC,4.824489,7.935553
OAC,4.883840,8.268676
OAC,5.239950,8.411443
OAC,5.254788,8.649387
OAC,5.640574,8.649387
OAC,5.655412,8.934921
OAC,5.818629,8.934921
OAC,5.833467,9.315632
OAC,5.922495,9.315632
OAC,6.011522,10.172232
OAC,6.145064,10.172232
