# study: OPTION | population: ITT | endpoint: Death from Any Cause, Stroke, or Systemic Embolism
arm,x,y
device,0.009494,0.000000
device,0.079114,0.063091
device,0.132911,0.094637
device,0.189873,0.189274
device,0.259160,0.303495
device,0.263113,0.421709
device,0.294736,0.421709
device,0.298689,0.539924
device,0.444949,0.539924
device,0.448902,0.697544
device,0.524008,0.697544
device,0.555632,0.933973
device,0.729562,1.052188
device,0.733515,1.249212
device,0.780950,1.249212
device,0.792809,1.485641
device,1.109046,1.603856
device,1.112999,1.761476
device,1.251352,1.761476
device,1.255305,1.879690
device,1.310647,1.879690
device,1.314600,1.997905
device,1.362035,1.997905
device,1.365988,2.116120
device,1.425283,2.116120
device,1.429235,2.273739
device,1.452953,2.273739
device,1.484577,2.628383
device,1.512248,2.628383
device,1.516201,2.825408
device,1.575495,2.825408
device,1.583401,2.943622
device,1.611072,2.943622
device,1.615025,3.061837
device,1.769190,3.061837
device,1.777096,3.337671
device,2.148674,3.377076
device,2.200062,3.455886
device,2.207968,3.652910
device,2.247498,3.652910
device,2.251451,3.771125
device,2.480722,3.889340
device,2.536064,4.401603
device,2.662559,4.559223
device,2.670465,4.677437
device,2.694182,4.677437
device,2.702088,4.913867
device,2.765336,4.913867
device,2.769288,5.110891
device,2.820677,5.110891
device,2.828583,5.229106
device,2.970889,5.229106
device,2.978795,5.347320
device,3.006466,5.347320
