# study: OPTION | population: ITT | endpoint: ISTH major bleeding, including procedure-related bleeding
arm,x,y
AC,0.002261,0.031701
AC,0.013400,0.031701
AC,0.043104,0.497124
AC,0.076522,0.497124
AC,0.132217,0.862814
AC,0.239895,0.896059
AC,0.243608,1.261748
AC,0.384703,1.261748
AC,0.462676,1.527704
AC,0.496093,1.527704
AC,0.514658,1.793660
AC,0.611197,1.793660
AC,0.626049,1.926639
AC,0.655753,1.926639
AC,0.685457,2.325573
AC,0.807987,2.325573
AC,0.856257,2.724507
AC,0.993638,2.824241
AC,1.004778,2.957219
AC,1.216420,2.957219
AC,1.227559,3.123441
AC,1.264689,3.223175
AC,1.346376,3.223175
AC,1.353802,3.455886
AC,1.379793,3.655353
AC,1.398358,3.755087
AC,1.461480,3.755087
AC,1.472619,3.954554
AC,1.498610,4.054288
AC,1.647131,4.054288
AC,1.658270,4.187266
AC,1.702826,4.187266
AC,1.710252,4.320244
AC,1.855060,4.320244
AC,1.869912,4.453222
AC,1.918181,4.519711
AC,2.608804,4.519711
AC,2.616230,4.619444
AC,2.657073,4.619444
AC,2.664499,4.719178
AC,2.783316,4.719178
AC,2.831585,5.051623
AC,3.020950,5.051623
