# study: OPTION | population: ITT | endpoint: Non–Procedure-Related Major Bleeding or Clinically Relevant Nonmajor Bleeding
arm,x,y
AC,0.003257,0.064516
AC,0.013029,1.096774
AC,0.018063,2.010244
AC,0.148718,3.892290
AC,0.202168,4.009918
AC,0.237801,5.539080
AC,0.261557,5.656708
AC,0.285312,6.480103
AC,0.374395,6.715359
AC,0.451601,7.774010
AC,0.564439,8.126894
AC,0.689155,9.420801
AC,0.778238,9.656057
AC,0.867321,11.067591
AC,0.902955,11.067591
AC,0.908893,11.420475
AC,0.980160,11.773359
AC,1.045487,12.596754
AC,1.211776,12.832010
AC,1.342431,13.302521
AC,1.407758,14.125916
AC,1.657191,14.361172
AC,1.752213,15.066940
AC,1.930379,15.302195
AC,1.942256,15.655079
AC,2.512388,16.125591
AC,2.637104,16.831358
AC,2.648982,17.184242
AC,2.981558,17.654753
AC,3.052825,18.125265
