# study: OPTION | population: ITT | endpoint: major bleeding
arm,x,y
AC,0.000000,0.000000
AC,0.024245,0.422414
AC,0.051923,0.422414
AC,0.055877,0.659388
AC,0.115185,0.659388
AC,0.142862,0.856865
AC,0.229848,0.856865
AC,0.233802,1.172830
AC,0.435450,1.133334
AC,0.443358,1.409803
AC,0.482897,1.409803
AC,0.502666,1.725768
AC,0.609421,1.725768
AC,0.613375,1.844255
AC,0.648960,1.844255
AC,0.668730,2.239210
AC,0.799208,2.239210
AC,0.803162,2.357697
AC,0.838747,2.476184
AC,0.842701,2.634166
AC,0.988995,2.752653
AC,0.992949,2.871139
AC,1.210413,2.871139
AC,1.214367,3.068617
AC,1.249952,3.068617
AC,1.253906,3.187104
AC,1.344845,3.187104
AC,1.348799,3.463573
AC,1.364615,3.582060
AC,1.384384,3.582060
AC,1.388338,3.700546
AC,1.451600,3.700546
AC,1.487185,3.977015
AC,1.637433,3.977015
AC,1.645341,4.095502
AC,1.696742,4.095502
AC,1.700696,4.292980
AC,1.854897,4.292980
AC,1.858851,4.411466
AC,2.598229,4.411466
AC,2.606137,4.608944
AC,2.649630,4.608944
AC,2.657537,4.727431
AC,2.784062,4.727431
AC,2.788016,4.885413
AC,2.811739,4.885413
AC,2.819647,5.003900
AC,3.009434,5.003900
