# study: PRAGUE17 | population: ITT | endpoint: all-stroke/transient ischemic attack
arm,x,y
AC,0.013841,0.000000
AC,0.138408,0.102564
AC,0.156863,0.410256
AC,0.390288,0.454502
AC,0.399593,1.075043
AC,0.506595,1.075043
AC,0.511247,1.488737
AC,0.632206,1.488737
AC,0.660120,2.626397
AC,0.897386,2.626397
AC,0.902038,3.350362
AC,1.581270,3.350362
AC,1.655706,3.557209
AC,1.660358,4.591445
AC,2.004626,4.591445
AC,2.009279,5.108563
AC,2.111629,5.108563
AC,2.116281,6.039375
AC,2.176761,6.039375
AC,2.181413,6.659916
AC,2.232588,6.659916
AC,2.255849,7.383881
AC,2.367504,7.383881
AC,2.372156,7.900999
AC,2.483810,7.900999
AC,2.493115,8.521541
AC,2.530333,8.521541
AC,2.534985,9.038659
AC,2.641988,9.038659
AC,2.646640,9.866047
AC,2.762947,9.866047
AC,2.772251,10.486589
AC,2.925776,10.486589
AC,2.930429,10.900283
AC,3.069997,10.900283
AC,3.074649,11.831095
AC,3.195608,11.831095
AC,3.200260,12.348213
AC,3.330524,12.348213
AC,3.335176,13.072178
AC,3.823665,13.072178
AC,3.828317,14.002990
AC,3.958581,14.002990
AC,3.963233,14.933802
AC,3.986494,14.933802
