# study: PRAGUE17 | population: ITT | endpoint: cardiovascular death, all-stroke/transient ischemic attack, clinically relevant bleeding, and device-/procedure-related complications
arm,x,y
AC,-0.000518,0.175361
AC,0.006013,0.175361
AC,0.006946,0.721057
AC,0.020008,0.721057
AC,0.021874,2.139868
AC,0.024673,2.139868
AC,0.025606,2.576425
AC,0.030271,2.576425
AC,0.032137,3.122122
AC,0.040535,3.122122
AC,0.044267,4.213514
AC,0.053597,4.213514
AC,0.054530,4.540932
AC,0.094649,4.540932
AC,0.095582,4.977489
AC,0.103046,4.977489
AC,0.103979,5.523186
AC,0.120773,5.523186
AC,0.122639,6.068882
AC,0.125438,6.068882
AC,0.128237,7.487693
AC,0.157160,7.487693
AC,0.158093,8.033389
AC,0.163691,8.033389
AC,0.164624,9.015643
AC,0.178619,9.015643
AC,0.180485,9.670478
AC,0.198213,9.670478
AC,0.199146,10.107036
AC,0.207543,10.107036
AC,0.209409,10.652732
AC,0.222471,10.652732
AC,0.224337,11.089289
AC,0.234600,11.089289
AC,0.241131,11.962403
AC,0.252327,11.962403
AC,0.254193,12.508100
AC,0.291513,12.508100
AC,0.292446,13.053796
AC,0.298044,13.053796
AC,0.299910,13.599493
AC,0.321369,13.599493
AC,0.322302,14.145189
AC,0.338163,14.145189
AC,0.339096,14.472607
AC,0.346561,14.472607
AC,0.347494,14.909164
AC,0.382948,14.909164
AC,0.383881,15.564000
AC,0.388546,15.564000
AC,0.389479,16.000557
AC,0.412804,16.000557
AC,0.414670,16.546253
AC,0.444526,16.546253
AC,0.445459,17.091950
AC,0.499574,17.419367
AC,0.504239,18.510760
AC,0.525698,18.510760
AC,0.526631,19.493014
AC,0.531296,19.493014
AC,0.532229,19.929571
AC,0.552755,19.929571
AC,0.558353,21.130103
AC,0.605936,21.130103
AC,0.607802,21.675799
AC,0.623663,21.675799
AC,0.624596,22.658053
AC,0.635792,22.658053
AC,0.636725,23.203749
AC,0.660984,23.203749
AC,0.664716,24.404281
AC,0.732825,24.404281
AC,0.733758,24.949978
AC,0.751485,24.949978
AC,0.758016,26.368788
AC,0.800002,26.368788
AC,0.800935,27.023624
AC,0.836389,27.023624
AC,0.837322,28.442435
AC,0.910096,28.442435
AC,0.911962,29.315549
AC,0.937153,29.315549
AC,0.938086,30.079524
AC,0.965144,30.079524
AC,0.966077,31.170917
AC,1.000598,31.170917
