# study: PRAGUE17 | population: ITT | endpoint: cardiovascular death, all-stroke/transient ischemic attack, clinically relevant bleeding, and device-/procedure-related complications
arm,x,y
device,0.001175,0.274914
device,0.002281,0.721057
device,0.013477,0.939336
device,0.020941,2.576425
device,0.037735,2.576425
device,0.046133,3.231261
device,0.047066,3.667818
device,0.061061,3.667818
device,0.064793,4.977489
device,0.077855,4.977489
device,0.079721,6.068882
device,0.083453,6.068882
device,0.084386,6.614579
device,0.108644,6.614579
device,0.109577,7.705971
device,0.143165,8.033389
device,0.146897,9.015643
device,0.163691,9.015643
device,0.166490,9.670478
device,0.203811,9.670478
device,0.212208,10.107036
device,0.278451,10.107036
device,0.280317,10.652732
device,0.306441,10.652732
device,0.307374,11.198428
device,0.333498,11.198428
device,0.334431,11.634986
device,0.347494,11.634986
device,0.348427,12.071543
device,0.362422,12.071543
device,0.363355,12.508100
device,0.374551,12.617239
device,0.377350,14.145189
device,0.422134,14.145189
device,0.427732,15.127443
device,0.439861,15.127443
device,0.440794,15.673139
device,0.504239,15.673139
device,0.505172,16.218835
device,0.548090,16.546253
device,0.554621,17.855925
device,0.638591,17.855925
device,0.639524,18.619900
device,0.705768,18.619900
device,0.706701,19.056457
device,0.722562,19.056457
device,0.724428,19.820432
device,0.770145,19.820432
device,0.771078,20.475267
device,0.833590,20.475267
device,0.834523,21.348382
device,0.878374,21.348382
device,0.880240,22.330635
device,0.937153,22.330635
device,0.939019,23.203749
device,0.975407,23.203749
device,0.977273,24.186003
device,1.001531,24.186003
