# study: PRAGUE17 | population: ITT | endpoint: clinically relevant bleeding
arm,x,y
AC,0.000207,0.091955
AC,0.088746,0.091955
AC,0.093406,0.507471
AC,0.214566,0.507471
AC,0.219226,1.026865
AC,0.494165,1.026865
AC,0.498825,1.546260
AC,0.727165,1.546260
AC,0.736485,2.065654
AC,0.834345,2.065654
AC,0.839004,2.585049
AC,0.964824,2.585049
AC,0.974144,3.208323
AC,1.160544,3.208323
AC,1.165204,3.519959
AC,1.780322,3.519959
AC,1.789642,4.039354
AC,2.022642,4.039354
AC,2.027302,4.454870
AC,2.106521,4.454870
AC,2.111181,4.974264
AC,3.015219,4.974264
AC,3.019879,5.493659
AC,3.206279,5.493659
AC,3.210939,6.428569
AC,3.644318,6.428569
AC,3.648978,7.155721
AC,3.858677,7.155721
AC,3.863337,8.298389
AC,3.993817,8.298389
