# study: PRAGUE17 | population: ITT | endpoint: nonprocedural clinically-relevant bleeding
arm,x,y
AC,0.003672,0.056987
AC,0.082786,0.471909
AC,0.101402,1.924139
AC,0.166555,1.924139
AC,0.175862,2.961445
AC,0.413206,2.961445
AC,0.417860,3.376368
AC,0.492320,3.376368
AC,0.515589,4.517405
AC,0.664511,4.517405
AC,0.673819,5.036058
AC,0.799471,5.036058
AC,0.804125,5.554712
AC,0.943739,5.554712
AC,0.948392,5.969634
AC,0.990277,6.384557
AC,1.022853,7.421864
AC,1.199697,7.421864
AC,1.204351,8.044248
AC,1.283466,8.044248
AC,1.288120,8.459170
AC,1.353273,8.459170
AC,1.357927,8.977824
AC,1.385849,8.977824
AC,1.399811,9.600208
AC,1.539425,9.600208
AC,1.558040,10.326322
AC,1.879152,10.326322
AC,1.883805,10.844976
AC,2.102534,10.844976
AC,2.111842,11.363629
AC,2.214225,11.363629
AC,2.223533,11.986013
AC,2.418992,11.986013
AC,2.423646,12.504666
AC,2.493453,12.504666
AC,2.498107,13.127050
AC,2.539991,13.127050
AC,2.544645,13.645704
AC,2.572567,13.645704
AC,2.586529,14.268088
AC,2.637720,14.268088
AC,2.642374,14.579280
AC,3.037947,14.579280
AC,3.042601,15.409125
AC,3.345097,15.409125
AC,3.354405,15.927778
AC,3.745324,15.927778
AC,3.749978,17.068816
AC,3.991975,17.068816
