# study: PROTECT_PREVAIL | population: ITT | endpoint: all-cause death
arm,x,y
AC,0.025006,99.626025
AC,0.125048,97.420261
AC,0.385158,97.019213
AC,0.418505,96.016593
AC,0.511878,95.415021
AC,0.685284,95.415021
AC,0.852021,93.610306
AC,1.118800,92.808210
AC,1.198833,91.003494
AC,1.358901,90.401922
AC,1.385579,89.399302
AC,1.599002,88.998254
AC,1.832434,86.993014
AC,2.139229,85.990394
AC,2.159238,83.784630
AC,2.459364,83.183058
AC,2.479373,82.782010
AC,2.486042,80.375722
AC,2.559406,80.375722
AC,2.666118,78.370482
AC,2.812846,78.370482
AC,2.832855,77.167338
AC,2.919558,75.162098
AC,3.172998,74.560526
AC,3.193006,72.354762
AC,3.413099,72.354762
AC,3.433108,70.550047
AC,3.486463,70.550047
AC,3.493133,68.745331
AC,3.593175,68.745331
AC,3.606514,68.143759
AC,3.939988,68.143759
AC,3.946657,66.740091
AC,4.006682,66.740091
AC,4.020021,65.336423
AC,4.066708,65.336423
AC,4.113394,63.732231
AC,4.166750,63.130659
AC,4.320148,63.130659
AC,4.346826,61.325943
AC,4.466876,60.724371
AC,4.533571,59.320703
AC,4.773672,59.320703
AC,4.787011,58.719131
