# study: PROTECT_PREVAIL | population: ITT | endpoint: all-cause death
arm,x,y
device,0.045014,99.425501
device,0.118379,98.222357
device,0.558564,98.222357
device,0.678614,96.016593
device,0.725301,94.211878
device,0.838682,94.211878
device,0.938724,93.209258
device,1.205503,93.209258
device,1.265528,92.006114
device,1.352231,92.006114
device,1.385579,91.404542
device,1.619010,91.404542
device,1.632349,90.802970
device,1.732391,90.802970
device,1.759069,90.000874
device,1.859112,89.599826
device,1.899128,88.597206
device,2.125890,87.795110
device,2.245941,85.990394
device,2.352653,85.990394
device,2.426017,84.987774
device,2.572745,84.987774
device,2.612762,83.985154
device,2.672787,83.985154
device,2.719474,82.982534
device,2.999592,82.982534
device,3.052948,81.979914
device,3.172998,81.979914
device,3.286379,79.573626
device,3.339735,79.573626
device,3.379752,78.571006
device,3.546489,78.370482
device,3.659870,76.565766
device,3.779920,76.565766
device,3.819937,75.563146
device,4.073377,75.362622
device,4.093386,74.761050
device,4.286800,74.761050
device,4.366834,72.755810
device,4.460207,72.354762
device,4.540240,71.151618
device,4.780341,71.151618
device,4.827028,70.148999
device,4.920400,69.747951
