# study: PROTECT_PREVAIL | population: ITT | endpoint: hemorrhagic stroke
arm,x,y
device,0.000000,99.277108
device,0.025440,97.137003
device,0.162884,97.137003
device,0.202154,96.107154
device,0.869743,95.283274
device,0.895923,94.665364
device,1.190447,93.841485
device,1.242807,92.811635
device,1.393342,92.811635
device,1.406431,91.781786
device,1.615871,91.781786
device,1.655141,90.957906
device,1.818766,90.957906
device,1.851490,90.339997
device,2.093655,90.339997
device,2.139470,89.310147
device,2.290004,89.310147
device,2.381634,88.280298
device,3.284842,88.280298
device,3.546642,87.456418
device,3.572822,86.838508
device,4.927633,86.220599
