# study: PROTECT_PREVAIL | population: ITT | endpoint: stroke, systemic embolism (SE), or cardiovascular/unexplained death
arm,x,y
AC,0.051546,99.557522
AC,0.088365,98.008850
AC,0.176730,98.008850
AC,0.316642,97.345133
AC,0.456554,97.123894
AC,0.603829,95.575221
AC,0.684831,95.575221
AC,0.758468,95.353982
AC,0.817378,94.026549
AC,0.868925,93.584071
AC,0.942563,92.477876
AC,1.089838,91.592920
AC,1.134021,90.929204
AC,1.237113,90.929204
AC,1.318115,89.823009
AC,1.413844,89.380531
AC,1.465390,88.274336
AC,1.612666,88.274336
AC,1.684546,87.147123
AC,1.918318,87.147123
AC,1.980854,86.946903
AC,2.135493,86.725664
AC,2.157585,85.176991
AC,2.466012,84.137050
AC,2.592917,82.531678
AC,2.813330,82.531678
AC,2.840047,81.929664
AC,2.906839,81.929664
AC,2.913518,81.327649
AC,3.441175,80.725635
AC,3.467892,78.919591
AC,3.528005,78.518248
AC,3.875323,77.514891
AC,3.922077,76.511533
AC,4.149170,76.110190
AC,4.189245,74.504818
AC,4.282754,74.504818
AC,4.349546,72.297432
AC,4.402980,71.896089
AC,4.777015,71.494746
AC,4.797052,70.692060
AC,4.857165,70.692060
