# study: PROTECT_PREVAIL | population: ITT | endpoint: stroke, systemic embolism (SE), or cardiovascular/unexplained death
arm,x,y
device,-0.007364,99.557522
device,0.014728,97.787611
device,0.054821,96.378011
device,0.148330,95.976668
device,0.175047,94.772639
device,0.342027,94.772639
device,0.368744,93.769282
device,0.609195,93.769282
device,0.696024,93.367939
device,0.702704,92.565253
device,1.009947,92.163910
device,1.016626,91.561895
device,1.090097,91.561895
device,1.096776,90.759209
device,1.223681,90.759209
device,1.297152,89.755852
device,1.383982,89.555180
device,1.444095,88.150480
device,1.911638,87.548466
device,1.938355,85.541751
device,2.118694,85.541751
device,2.152090,84.538393
device,3.047102,83.133693
device,3.067140,82.531678
device,3.187365,82.531678
device,3.294233,81.528321
device,3.541363,81.126978
device,3.634872,78.919591
device,4.790373,78.317577
device,4.837127,78.116905
device,4.870523,77.113548
device,4.923957,77.113548
