# study: champion | population: ITT | endpoint: Death from Cardiovascular Cause, Stroke, or Systemic Embolism
arm,x,y
AC,0.011994,0.137375
AC,0.025575,-0.008329
AC,0.143273,0.185943
AC,0.161380,0.331646
AC,0.365089,0.428782
AC,0.451099,0.574486
AC,0.460153,0.768757
AC,0.528056,0.817325
AC,0.541636,0.963028
AC,1.012429,1.157300
AC,1.035063,1.351571
AC,1.157288,1.400139
AC,1.161815,1.545843
AC,1.261406,1.788682
AC,1.659769,1.934385
AC,1.718618,2.371496
AC,1.868004,2.371496
AC,1.922327,2.711471
AC,2.017391,2.808607
AC,2.040025,3.002878
AC,2.225626,3.197150
AC,2.243733,3.439989
AC,2.284475,3.488557
AC,2.311636,3.828532
AC,2.375012,3.877100
AC,2.384066,4.022803
AC,2.610408,4.119939
AC,2.623989,4.314210
AC,2.768848,4.508482
AC,2.777902,4.654185
AC,2.927288,4.654185
AC,2.999718,4.799889
AC,3.004245,5.771246
AC,3.026879,5.771246
