# study: champion | population: ITT | endpoint: Death from Cardiovascular Cause, Stroke, or Systemic Embolism
arm,x,y
device,0.011994,0.088807
device,0.138746,0.331646
device,0.188542,0.574486
device,0.270025,0.623053
device,0.292659,0.817325
device,0.519002,0.963028
device,0.532582,1.157300
device,0.672915,1.351571
device,0.681969,1.545843
device,0.740818,1.594410
device,0.786086,1.837250
device,0.962634,1.885818
device,1.030536,2.177225
device,1.374577,2.274360
device,1.433426,2.517200
device,1.551125,2.614335
device,1.564705,2.808607
device,1.732199,2.905743
device,1.863478,3.342853
device,1.926853,3.342853
device,1.994756,3.634260
device,2.080767,3.682828
device,2.085293,3.828532
device,2.302582,4.022803
device,2.470076,4.459914
device,2.633043,4.557050
device,2.700945,4.897025
device,2.854859,5.091296
device,2.868439,5.285567
device,2.909181,5.334135
device,2.931815,5.722678
device,2.999718,5.771246
