# study: champion | population: ITT | endpoint: Death from Cardiovascular Causes, Stroke, Systemic Embolism, or Non–Procedure-Related Bleeding
arm,x,y
AC,0.020669,0.315457
AC,0.020669,0.315457
AC,0.032480,0.236593
AC,0.047244,0.315457
AC,0.065743,0.707778
AC,0.124962,1.316112
AC,0.275288,3.627781
AC,0.279843,2.897781
AC,0.293509,3.506115
AC,0.334507,3.384448
AC,0.389171,4.601116
AC,0.439279,4.844449
AC,0.498498,5.817784
AC,0.589605,6.061117
AC,0.730820,7.521119
AC,0.940364,8.737787
AC,1.026916,9.711121
AC,1.040581,10.197789
AC,1.095245,10.319455
AC,1.127133,10.806123
AC,1.368565,12.022791
AC,1.427784,12.752791
AC,1.609996,13.604459
AC,1.687437,13.604459
AC,1.924314,15.429461
AC,1.997199,15.551128
AC,2.142969,16.767796
AC,2.234075,16.889463
AC,2.525616,18.957798
AC,2.762492,19.566132
AC,2.887795,20.504732
AC,2.920276,20.820189
AC,2.949803,20.899054
AC,2.985236,21.293375
