# study: champion | population: ITT | endpoint: Non-procedural Modified ISTH Clinically Relevant Non-major Bleeding
arm,x,y
device,0.005342,0.124763
device,0.034832,0.193023
device,0.079066,1.012141
device,0.182279,1.216920
device,0.189652,1.489960
device,0.300237,2.036038
device,0.311296,2.309078
device,0.536153,2.309078
device,0.812618,2.650377
device,0.845793,2.923416
device,1.041161,3.128196
device,1.089082,3.469495
device,1.240216,3.537755
device,1.299195,3.879054
device,1.682558,4.288613
device,1.833692,4.629912
device,1.870554,4.902951
device,1.973767,4.971211
device,1.988512,5.175991
device,2.205997,5.244251
device,2.246545,5.517290
device,2.386620,5.585550
device,2.452972,5.790329
device,2.456658,5.995109
device,2.714691,6.063369
device,2.766298,6.336408
device,2.869511,6.404668
device,2.880570,6.677707
device,2.987469,6.814227
device,3.013273,7.019006
