# study: champion | population: ITT | endpoint: Procedural and Non-procedural ISTH Major and Modified ISTH Clinically Relevant Non-major Bleeding
arm,x,y
AC,-0.011970,0.032313
AC,0.014529,0.032313
AC,0.022100,0.390071
AC,0.044813,0.461622
AC,0.078882,1.034035
AC,0.109166,1.105586
AC,0.200019,2.608168
AC,0.256801,2.751271
AC,0.275729,3.109029
AC,0.309798,3.180580
AC,0.377937,4.182301
AC,0.419578,4.253853
AC,0.430935,4.611610
AC,0.487717,5.040920
AC,0.574784,5.255574
AC,0.646709,6.114192
AC,0.680778,6.185744
AC,0.779201,7.187465
AC,0.809485,7.187465
AC,0.854912,7.688326
AC,0.934407,7.974532
AC,1.013903,8.761598
AC,1.051758,9.405562
AC,1.089613,9.405562
AC,1.127468,9.834871
AC,1.172894,9.906423
AC,1.237248,10.478835
AC,1.358384,10.908144
AC,1.422738,11.623659
AC,1.517376,11.909865
AC,1.615799,12.625380
AC,1.691509,12.696932
AC,1.736935,13.197793
AC,1.801289,13.340896
AC,1.846715,13.913308
AC,1.975422,14.127962
AC,2.179840,15.344338
AC,2.289619,15.487441
AC,2.308547,15.773647
AC,2.388043,15.988302
AC,2.403185,16.274508
AC,2.490251,16.417611
AC,2.524321,16.918471
AC,2.588675,16.990023
AC,2.603817,17.276229
AC,2.766593,17.490884
AC,2.789307,17.777090
AC,2.918014,18.206399
AC,2.940727,18.564156
AC,3.012652,18.993465
