# study: champion | population: ITT | endpoint: Procedural and Non-procedural ISTH Major and Modified ISTH Clinically Relevant Non-major Bleeding
arm,x,y
device,-0.008184,0.032313
device,0.010743,1.677998
device,0.059955,3.109029
device,0.336297,5.184023
device,0.502859,5.184023
device,0.589926,5.613332
device,0.733775,5.827986
device,0.767845,6.185744
device,1.025259,6.615053
device,1.074471,6.972811
device,1.233462,7.044362
device,1.282674,7.187465
device,1.312958,7.545223
device,1.551445,7.831429
device,1.585515,8.189186
device,1.699080,8.618495
device,1.820216,8.761598
device,1.869428,9.190908
device,1.937567,9.262459
device,1.982993,9.763320
device,2.198767,10.121077
device,2.217695,10.335732
device,2.327474,10.335732
device,2.350188,10.621938
device,2.444825,10.765041
device,2.456182,11.051247
device,2.600031,11.122799
device,2.724953,11.695211
device,2.857446,11.909865
device,3.005081,12.625380
