# study: champion | population: ITT | endpoint: major bleeding
arm,x,y
device,0.009242,0.130775
device,0.036628,0.909442
device,0.164429,1.590777
device,0.328744,1.639443
device,0.342437,1.834110
device,0.543266,1.931444
device,0.552395,2.077444
device,0.598038,2.126111
device,0.744095,2.126111
device,0.771481,2.369444
device,1.027082,2.564111
device,1.040775,2.710111
device,1.314634,2.710111
device,1.565670,3.050778
device,1.574799,3.196778
device,1.729985,3.440112
device,1.935379,3.488779
device,1.971893,3.780779
device,2.149901,4.072779
device,2.154466,4.267446
device,2.209237,4.267446
device,2.222930,4.413446
device,2.341602,4.462113
device,2.359859,4.656780
device,2.606332,4.705447
device,2.670232,5.046114
device,2.720439,5.046114
device,2.788904,5.289447
device,2.871062,5.289447
device,2.875626,5.435448
device,2.903012,5.435448
device,2.925833,5.630114
device,2.998862,5.678781
