# study: champion | population: ITT | endpoint: non-procedure bleeding
arm,x,y
AC,0.024024,0.000000
AC,0.039039,0.000000
AC,0.063063,0.401929
AC,0.129129,0.964630
AC,0.179847,2.199039
AC,0.216135,2.806137
AC,0.275101,2.927556
AC,0.284173,3.291815
AC,0.356748,3.777494
AC,0.388499,4.506012
AC,0.442930,4.627431
AC,0.520041,5.598788
AC,0.592616,5.720208
AC,0.864771,8.148601
AC,0.941881,8.391440
AC,1.028064,9.241377
AC,1.046207,9.848476
AC,1.372793,11.548350
AC,1.431760,12.276868
AC,1.703915,13.369645
AC,1.849065,14.583841
AC,1.966998,14.583841
AC,2.152971,15.798038
AC,2.488629,17.012234
AC,2.620170,17.983591
AC,2.742640,17.983591
AC,2.992116,19.683466
AC,3.005723,19.683466
AC,3.006006,19.694534
