# study: closure-af | population: ITT | endpoint: Noncardiovascular Death
arm,x,y
AC,0.012565,0.058140
AC,0.056408,0.921780
AC,0.253631,2.404654
AC,0.438527,2.974991
AC,0.475506,3.545327
AC,0.722035,3.773461
AC,0.746688,4.343797
AC,0.845299,4.343797
AC,0.906931,5.370403
AC,1.128807,5.826672
AC,1.190439,6.397008
AC,1.252071,6.397008
AC,1.264398,6.967344
AC,1.387662,6.967344
AC,1.473947,7.537680
AC,1.547906,7.537680
AC,1.634191,8.678353
AC,1.695823,8.678353
AC,1.757455,9.248689
AC,2.213533,9.590890
AC,2.225859,9.933092
AC,2.472388,9.933092
AC,2.484714,10.389361
AC,2.940792,10.389361
AC,3.002424,11.187832
AC,3.433849,11.644101
AC,3.458502,12.214437
AC,3.557114,12.214437
AC,3.569440,12.784773
AC,3.680378,12.784773
AC,3.692704,13.355109
AC,3.976212,13.355109
AC,3.988539,14.039513
AC,4.161109,14.039513
AC,4.173435,14.723916
AC,4.913021,14.723916
AC,4.937674,15.750521
AC,5.997746,15.750521
