# study: closure-af | population: ITT | endpoint: stroke, systemic embolism, major bleeding or cardiovascular or unexplained death
arm,x,y
AC,0.019334,0.660793
AC,0.128894,3.964758
AC,0.176862,5.288138
AC,0.430465,8.302940
AC,0.739199,14.332546
AC,0.970749,15.463097
AC,1.058959,17.347348
AC,1.621296,22.246402
AC,2.845205,28.276008
AC,2.922389,29.783409
AC,3.131887,30.537110
AC,3.198044,32.798212
AC,3.617040,32.798212
AC,4.124246,35.059313
AC,4.135272,36.566715
AC,4.587347,36.566715
AC,4.609399,38.450966
AC,5.204815,39.581517
AC,5.215841,41.465769
AC,5.987676,41.842619
